experiment,conditioning,overall_mean_physical_score,overall_mean_statistical_score,discard_rate
bouncing_ball,keyframe_interpolation,0.568,0.238,0.175
bouncing_ball,multi_frame_conditioning,0.442,0.159,0.251
bouncing_ball,none,0.985,0.986,0.0
bouncing_ball,single_frame_conditioning,0.481,0.095,0.22
double_pendulum,multi_frame_conditioning,0.563,0.878,0.084
double_pendulum,none,0.938,0.993,0.0
double_pendulum,single_frame_conditioning,0.473,0.747,0.214
falling_ball,keyframe_interpolation,0.296,0.101,0.607
falling_ball,multi_frame_conditioning,0.414,0.209,0.393
falling_ball,none,0.977,0.994,0.0
falling_ball,single_frame_conditioning,0.417,0.198,0.362
holonomic_pendulum,keyframe_interpolation,0.647,0.849,0.015
holonomic_pendulum,multi_frame_conditioning,0.6,0.497,0.174
holonomic_pendulum,none,0.939,0.978,0.0
holonomic_pendulum,single_frame_conditioning,0.401,0.376,0.402
non_holonomic,keyframe_interpolation,0.476,0.736,0.195
non_holonomic,multi_frame_conditioning,0.556,0.548,0.255
non_holonomic,none,0.996,0.976,0.0
non_holonomic,single_frame_conditioning,0.486,0.535,0.316
projectile,keyframe_interpolation,0.39,0.483,0.365
projectile,multi_frame_conditioning,0.262,0.271,0.534
projectile,none,0.862,0.828,0.0
projectile,single_frame_conditioning,0.336,0.365,0.526
