model,conditioning,score_sum_mean_improvement,discard_rate_improvement,statistical_score_mean_improvement,physical_score_mean_improvement
COSMOS-predict1,multi_frame_conditioning,8.4,-91.7,-11.7,14.8
COSMOS-predict1,single_frame_conditioning,12.8,-11.7,2.7,19.4
COSMOS-predict2,multi_frame_conditioning,20.4,0.0,-3.9,34.2
COSMOS-predict2,single_frame_conditioning,-69.5,66.7,-39.8,-80.0
CogVideo,keyframe_interpolation,-24.8,-8.5,-9.9,-58.1
CogVideo,multi_frame_conditioning,-74.1,8.9,-47.5,-128.3
CogVideo,single_frame_conditioning,-16.4,-8.3,-49.0,0.5
Kling-Turbo,single_frame_conditioning,6.2,8.3,-1.9,13.9
LTX,multi_frame_conditioning,-12.2,-10.7,11.3,-61.6
LTX,single_frame_conditioning,-135.9,19.7,-219.9,-95.2
PyramidalFlow,multi_frame_conditioning,16.2,-43.1,19.8,13.9
PyramidalFlow,single_frame_conditioning,9.7,6.9,-0.6,19.0
Veo3,single_frame_conditioning,5.1,11.1,3.4,7.0
Veo3-fast,single_frame_conditioning,-54.2,24.1,-29.6,-90.7
WAN-2.1,keyframe_interpolation,-18.3,24.1,-11.0,-27.6
WAN-2.1,single_frame_conditioning,27.2,-1.2,24.7,29.3
