model,conditioning,disappearance_rate,duplicate_rate,stillness_rate,discard_rate,disappearance_proportion,duplicate_proportion,stillness_proportion
COSMOS-predict1,multi_frame_conditioning,0.02345679012345679,0.10835368335368335,0.14541446208112874,0.2645265228598561,0.0846128436326266,0.39085114452451153,0.5245360118428618
COSMOS-predict1,single_frame_conditioning,0.06465879799213133,0.1652862569529236,0.18758309591642922,0.3851953601953602,0.1548609305952691,0.39586853392253707,0.4492705354821939
COSMOS-predict2,multi_frame_conditioning,0.03271604938271605,0.03015194681861348,0.16256613756613755,0.2217304300637634,0.1451246483217236,0.13375058299607323,0.7211247686822032
COSMOS-predict2,single_frame_conditioning,0.04185660018993352,0.07628205128205129,0.15224867724867727,0.2685354768688102,0.15480237327680282,0.28212139837683925,0.563076228346358
CogVideo,keyframe_interpolation,0.024453941120607788,0.28981481481481475,0.0850189933523267,0.3879867046533714,0.06124390533951719,0.7258294684266856,0.21292662623379718
CogVideo,multi_frame_conditioning,0.09620811287477954,0.09372541039207706,0.10553859720526387,0.2917684167684168,0.3256080902694078,0.3172055970706062,0.357186312659986
CogVideo,single_frame_conditioning,0.09637430470763803,0.1988434405101072,0.16816239316239318,0.45103445936779274,0.20798108663987758,0.42911515630603925,0.3629037570540831
Kling-Turbo,single_frame_conditioning,0.005291005291005291,0.07627865961199294,0.16358024691358025,0.22663139329806,0.02158273381294964,0.31115107913669066,0.6672661870503598
LTX,multi_frame_conditioning,0.07255460588793922,0.08216999050332383,0.19407136073802744,0.3487959571292904,0.2080144692188761,0.23558183179533054,0.5564036989857934
LTX,single_frame_conditioning,0.03423212589879257,0.16570004070004068,0.3911307827974495,0.5038495455162122,0.05791620999718826,0.28034245907189453,0.6617413309309171
PyramidalFlow,multi_frame_conditioning,0.09453941120607787,0.03689458689458689,0.22811355311355314,0.357695699362366,0.26293993906177776,0.10261392900602778,0.6344461319321945
PyramidalFlow,single_frame_conditioning,0.057336182336182345,0.10937118437118437,0.3113688780355447,0.46098561931895266,0.1199310423110758,0.2287735179772411,0.651295439711683
Veo3,single_frame_conditioning,0.027777777777777776,0.1882716049382716,0.17901234567901236,0.3796296296296296,0.07031249999999999,0.47656249999999994,0.453125
Veo3-fast,single_frame_conditioning,0.06051417718084384,0.13532763532763534,0.1322140822140822,0.32276488943155607,0.18446300814689218,0.4125139572391548,0.4030230346139531
WAN-2.1,keyframe_interpolation,0.00771604938271605,0.07805589472256137,0.07990774657441324,0.16382783882783886,0.046572089500296836,0.4711253045098159,0.48230260598988717
WAN-2.1,single_frame_conditioning,0.07283950617283952,0.10064780898114231,0.18897707231040564,0.35426332926332926,0.2009563109975765,0.27767640756440126,0.5213672814380222
