model,conditioning,statistical_score_mean,physical_score_mean,score_sum_mean,statistical_proportion,physical_proportion
COSMOS-predict1,multi_frame_conditioning,0.22516317267462052,0.20696248228556707,0.4321256549601876,0.5210594883457339,0.478940511654266
COSMOS-predict1,single_frame_conditioning,0.14846390528249923,0.18406991835130995,0.3325338236338092,0.44646256931141454,0.5535374306885855
COSMOS-predict2,multi_frame_conditioning,0.2684389064457144,0.24667698879977135,0.5151158952454857,0.5211233218066121,0.4788766781933878
COSMOS-predict2,single_frame_conditioning,0.21490457642776425,0.21246958685960587,0.4273741632873701,0.5028487795675672,0.4971512204324328
CogVideo,keyframe_interpolation,0.23778473229916897,0.21563310651917245,0.4534178388183414,0.5244273867099343,0.4755726132900658
CogVideo,multi_frame_conditioning,0.20085781433415761,0.19332960202864635,0.39418741636280397,0.5095490266723562,0.4904509733276437
CogVideo,single_frame_conditioning,0.1783799664445681,0.14398726083806257,0.3223672272826307,0.5533439858269964,0.44665601417300366
LTX,multi_frame_conditioning,0.16559174665685866,0.17744439163773407,0.34303613829459273,0.48272391206389953,0.5172760879361005
LTX,single_frame_conditioning,0.1507725401165833,0.1441804672923278,0.2949530074089111,0.5111747848956775,0.48882521510432253
PyramidalFlow,multi_frame_conditioning,0.15945317750576798,0.2131562973652313,0.37260947487099927,0.4279364542755444,0.5720635457244557
PyramidalFlow,single_frame_conditioning,0.14815231076346166,0.1895498563160457,0.3377021670795074,0.43870701821283015,0.5612929817871698
WAN-2.1,keyframe_interpolation,0.27301768461306275,0.2762857715262285,0.5493034561392913,0.49702524453775043,0.5029747554622495
WAN-2.1,single_frame_conditioning,0.18587977999409344,0.1644627780259813,0.35034255802007475,0.5305658012106039,0.4694341987893961
