experiment_category,model,conditioning,prompt_type,total_count,score_sum_mean,statistical_score_mean,physical_score_mean,discard_rate,statistical_proportion,physical_proportion
bouncing,COSMOS-predict1,multi_frame_conditioning,enhanced,3,0.4372461905636975,0.216513967099779,0.2207322234639185,0.3333333333333333,0.4951763372041031,0.5048236627958969
bouncing,COSMOS-predict1,multi_frame_conditioning,plain,3,0.5052506659889511,0.3030938453309519,0.2021568206579992,0.3333333333333333,0.5998880669215784,0.40011193307842174
bouncing,COSMOS-predict1,single_frame_conditioning,enhanced,23,0.32500122135956483,0.0795144449407558,0.245486776418809,0.34782608695652173,0.24465891115155244,0.7553410888484475
bouncing,COSMOS-predict1,single_frame_conditioning,plain,22,0.36661603997146647,0.07952402219889279,0.2870920177725737,0.2727272727272727,0.21691364678174502,0.783086353218255
bouncing,COSMOS-predict2,multi_frame_conditioning,enhanced,3,0.8330459999697816,0.4618086127892505,0.371237387180531,0.0,0.5543614792052329,0.44563852079476707
bouncing,COSMOS-predict2,multi_frame_conditioning,plain,3,0.8652473628063714,0.4577974423928772,0.4074499204134942,0.0,0.5290942938075444,0.47090570619245564
bouncing,COSMOS-predict2,single_frame_conditioning,enhanced,23,0.5468765727509255,0.14774692485980057,0.399129647891125,0.08695652173913043,0.2701650284937179,0.7298349715062822
bouncing,COSMOS-predict2,single_frame_conditioning,plain,22,0.5280704443440021,0.13727527900999845,0.39079516533400366,0.045454545454545456,0.25995637604852,0.74004362395148
bouncing,CogVideo,keyframe_interpolation,enhanced,23,0.4949402336027751,0.22493720172640636,0.27000303187636876,0.30434782608695654,0.45447346256141,0.5455265374385899
bouncing,CogVideo,keyframe_interpolation,plain,23,0.4927572114783457,0.1592610175388778,0.33349619393946783,0.08695652173913043,0.32320382904406575,0.676796170955934
bouncing,CogVideo,multi_frame_conditioning,enhanced,23,0.40717313481966955,0.09192397479735749,0.31524916002231207,0.08695652173913043,0.22576139469041626,0.7742386053095838
bouncing,CogVideo,multi_frame_conditioning,plain,23,0.2773155561608227,0.0393392262885503,0.23797632987227238,0.17391304347826086,0.14185726481833724,0.8581427351816626
bouncing,CogVideo,single_frame_conditioning,enhanced,23,0.1770049364265167,0.01209894171657093,0.16490599470994577,0.391304347826087,0.06835369657384546,0.9316463034261545
bouncing,CogVideo,single_frame_conditioning,plain,22,0.21673342905112458,0.018967445142760372,0.19776598390836425,0.2727272727272727,0.08751508812369779,0.9124849118763024
bouncing,LTX,multi_frame_conditioning,enhanced,23,0.2129852879685108,0.00021659047260419564,0.2127686974959066,0.13043478260869565,0.0010169269186152325,0.9989830730813848
bouncing,LTX,multi_frame_conditioning,plain,23,0.17350410119214232,0.029383369993875884,0.14412073119826643,0.391304347826087,0.16935259623250107,0.8306474037674989
bouncing,LTX,single_frame_conditioning,enhanced,23,0.1273601772573911,0.0,0.1273601772573911,0.43478260869565216,0.0,1.0
bouncing,LTX,single_frame_conditioning,plain,22,0.18654198222681606,0.018206893952107662,0.1683350882747084,0.36363636363636365,0.0976021254559734,0.9023978745440265
bouncing,PyramidalFlow,multi_frame_conditioning,plain,13,0.3429955002163542,0.043174440055825485,0.29982106016052873,0.23076923076923078,0.1258746544155593,0.8741253455844407
bouncing,PyramidalFlow,single_frame_conditioning,enhanced,23,0.26682799602303287,0.007016132961818959,0.2598118630612139,0.2608695652173913,0.02629459077155202,0.973705409228448
bouncing,PyramidalFlow,single_frame_conditioning,plain,21,0.318272503290456,0.017536024303205725,0.30073647898725026,0.19047619047619047,0.055097515876834396,0.9449024841231656
