experiment,model,conditioning,prompt_type,count,overall_mean_physical_score,overall_std_physical_score,overall_mean_statistical_score,overall_std_statistical_score,overall_mean_depth_consistency,overall_mean_energy_conservation,overall_mean_acceleration_conservation,overall_mean_horizontal_momentum_conservation,overall_mean_period_conservation,overall_mean_distance_conservation,discard_rate,is_discarded,is_disappearance,is_duplicate,is_stillness
bouncing_ball,COSMOS,multi_frame_conditioning,enhanced,20,0.36210620820620537,0.3244917861270254,0.35257643034983,0.3791284063593101,0.963556059710933,0.34052715638142306,0.22944086042717476,0.5163506078100183,0.0,0.0,0.4,0.4,0.0,0.4,0.0
bouncing_ball,COSMOS,multi_frame_conditioning,plain,20,0.36752166557361254,0.2939920513605227,0.3489177157559655,0.3539567972173917,0.9428410581286142,0.34544403840456506,0.2285779047591409,0.5285430535571315,0.0,0.0,0.35,0.35,0.0,0.3,0.05
bouncing_ball,COSMOS,single_frame_conditioning,enhanced,20,0.5459497797542874,0.33515173228362527,0.045213212271060385,0.20219963223843734,0.9713742191853946,0.672471474464485,0.27247538622690387,0.6929024785714735,0.0,0.0,0.25,0.25,0.0,0.0,0.25
bouncing_ball,COSMOS,single_frame_conditioning,plain,20,0.27621170150619223,0.29768668093448547,0.17147556259938138,0.26934923258346855,0.8702422695421793,0.32074155496388174,0.16175696924988087,0.3461365803048141,0.0,0.0,0.5,0.5,0.1,0.35,0.05
bouncing_ball,CogVideo,keyframe_interpolation,enhanced,20,0.5498354526385885,0.3035863686529545,0.2176026888863331,0.28407112889573266,0.9544038965869529,0.5365755083541707,0.49846245859591753,0.6144683909656772,0.0,0.0,0.2,0.2,0.0,0.0,0.2
bouncing_ball,CogVideo,keyframe_interpolation,plain,20,0.5866869936350033,0.2811758659700673,0.25927425585408986,0.32590366691841016,0.9607853839002759,0.5665970692878367,0.4608334341175209,0.7326304774996523,0.0,0.0,0.15,0.15,0.0,0.0,0.15
bouncing_ball,CogVideo,multi_frame_conditioning,enhanced,20,0.3314790374250885,0.3614527214726759,0.1097866334130078,0.26928697927117246,0.9060671684466028,0.33543489512982,0.2365168394971453,0.4224853776483002,0.0,0.0,0.5,0.5,0.05,0.05,0.4
bouncing_ball,CogVideo,multi_frame_conditioning,plain,20,0.38652568809439924,0.2444200853395393,0.0016417228126197447,0.007342007618459797,0.9605854374697873,0.39705045090338537,0.16268622052306406,0.5998403928567483,0.0,0.0,0.25,0.25,0.0,0.05,0.2
bouncing_ball,CogVideo,single_frame_conditioning,enhanced,19,0.4573531660608437,0.29101766426497244,0.0493994200426948,0.1044760752512067,0.9448015612800987,0.5459349707531856,0.22160361126973732,0.604520916159608,0.0,0.0,0.21052631578947367,0.21052631578947367,0.0,0.05263157894736842,0.15789473684210525
bouncing_ball,CogVideo,single_frame_conditioning,plain,19,0.5086120903658509,0.16365693850289514,0.11868996486673089,0.18352616474189765,0.8959151622838168,0.5535031302404078,0.2279534221546519,0.7443797187024931,0.0,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0
bouncing_ball,LTX,multi_frame_conditioning,enhanced,20,0.4757052450490499,0.18349225929414467,0.11830605938097402,0.21706170930753002,0.9636769782580747,0.5324298894987944,0.26506135453189245,0.6296244911164627,0.0,0.0,0.05,0.05,0.0,0.0,0.05
bouncing_ball,LTX,multi_frame_conditioning,plain,20,0.3696025758209326,0.18270372904791676,0.04243039034379643,0.12237747519276625,0.9645787957997873,0.4048416205611039,0.14989421964759345,0.5540718872541003,0.0,0.0,0.15,0.15,0.0,0.0,0.15
