,experiment,model,conditioning,prompt_type,count,overall_mean_physical_score,overall_std_physical_score,overall_mean_statistical_score,overall_std_statistical_score,overall_mean_depth_consistency,overall_mean_energy_conservation,overall_mean_acceleration_conservation,overall_mean_horizontal_momentum_conservation,overall_mean_period_conservation,overall_mean_distance_conservation,discard_rate,is_discarded,is_disappearance,is_duplicate,is_stillness
0,bouncing ball,COSMOS,multi frame conditioning,enhanced,20,0.3621062082062053,0.3244917861270254,0.35257643034983,0.3791284063593101,0.963556059710933,0.340527156381423,0.2294408604271747,0.5163506078100183,0.0,0.0,0.4,0.4,0.0,0.4,0.0
1,bouncing ball,COSMOS,multi frame conditioning,plain,20,0.3675216655736125,0.2939920513605227,0.3489177157559655,0.3539567972173917,0.9428410581286142,0.345444038404565,0.2285779047591409,0.5285430535571315,0.0,0.0,0.35,0.35,0.0,0.3,0.05
2,bouncing ball,COSMOS,single frame conditioning,enhanced,20,0.5459497797542874,0.3351517322836252,0.0452132122710603,0.2021996322384373,0.9713742191853946,0.672471474464485,0.2724753862269038,0.6929024785714735,0.0,0.0,0.25,0.25,0.0,0.0,0.25
3,bouncing ball,COSMOS,single frame conditioning,plain,20,0.2762117015061922,0.2976866809344854,0.1714755625993813,0.2693492325834685,0.8702422695421793,0.3207415549638817,0.1617569692498808,0.3461365803048141,0.0,0.0,0.5,0.5,0.1,0.35,0.05
4,bouncing ball,CogVideo,keyframe interpolation,enhanced,20,0.5498354526385885,0.3035863686529545,0.2176026888863331,0.2840711288957326,0.9544038965869528,0.5365755083541707,0.4984624585959175,0.6144683909656772,0.0,0.0,0.2,0.2,0.0,0.0,0.2
5,bouncing ball,CogVideo,keyframe interpolation,plain,20,0.5866869936350033,0.2811758659700673,0.2592742558540898,0.3259036669184101,0.960785383900276,0.5665970692878367,0.4608334341175209,0.7326304774996523,0.0,0.0,0.15,0.15,0.0,0.0,0.15
6,bouncing ball,CogVideo,multi frame conditioning,enhanced,20,0.3314790374250885,0.3614527214726759,0.1097866334130078,0.2692869792711724,0.9060671684466028,0.33543489512982,0.2365168394971453,0.4224853776483002,0.0,0.0,0.5,0.5,0.05,0.05,0.4
7,bouncing ball,CogVideo,multi frame conditioning,plain,20,0.3865256880943992,0.2444200853395393,0.0016417228126197,0.0073420076184597,0.9605854374697872,0.3970504509033853,0.162686220523064,0.5998403928567483,0.0,0.0,0.25,0.25,0.0,0.05,0.2
8,bouncing ball,CogVideo,single frame conditioning,enhanced,19,0.4573531660608437,0.2910176642649724,0.0493994200426948,0.1044760752512067,0.9448015612800988,0.5459349707531856,0.2216036112697373,0.604520916159608,0.0,0.0,0.2105263157894736,0.2105263157894736,0.0,0.0526315789473684,0.1578947368421052
9,bouncing ball,CogVideo,single frame conditioning,plain,19,0.5086120903658509,0.1636569385028951,0.1186899648667308,0.1835261647418976,0.8959151622838168,0.5535031302404078,0.2279534221546519,0.7443797187024931,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0,0.0
10,bouncing ball,LTX,multi frame conditioning,enhanced,20,0.4757052450490499,0.1834922592941446,0.118306059380974,0.21706170930753,0.9636769782580747,0.5324298894987944,0.2650613545318924,0.6296244911164627,0.0,0.0,0.05,0.05,0.0,0.0,0.05
11,bouncing ball,LTX,multi frame conditioning,plain,20,0.3696025758209326,0.1827037290479167,0.0424303903437964,0.1223774751927662,0.9645787957997872,0.4048416205611039,0.1498942196475934,0.5540718872541003,0.0,0.0,0.15,0.15,0.0,0.0,0.15
12,bouncing ball,LTX,single frame conditioning,enhanced,20,0.3330815086320383,0.2783752727453201,0.0604018940955329,0.1734120676425649,0.9158890329488047,0.3671568960433219,0.1979006273386589,0.4341870025141341,0.0,0.0,0.35,0.35,0.05,0.05,0.25
13,bouncing ball,LTX,single frame conditioning,plain,20,0.4627183388655819,0.2367569354968783,0.0719094720657521,0.1816635775755679,0.9734887919365371,0.5342847245531747,0.2114215285340535,0.6424487635095175,0.0,0.0,0.15,0.15,0.0,0.0,0.15
14,bouncing ball,PyramidalFlow,multi frame conditioning,enhanced,20,0.6221756813887325,0.2877025358589106,0.1744810619299363,0.2730304427053142,0.9081314514048484,0.6405340590204995,0.4677333728084603,0.7582596123372378,0.0,0.0,0.15,0.15,0.05,0.0,0.1
15,bouncing ball,PyramidalFlow,multi frame conditioning,plain,19,0.6196577906293552,0.2976772733481529,0.127803765861998,0.2530114401111951,0.9737413745939282,0.66304829962961,0.4385500477002149,0.7573750245582408,0.0,0.0,0.1578947368421052,0.1578947368421052,0.0,0.0,0.1578947368421052
16,bouncing ball,PyramidalFlow,single frame conditioning,enhanced,20,0.6630766686660815,0.2461051611366952,0.1135454137071986,0.2805663205947636,0.9124618292314433,0.7886762358561368,0.3816033251332856,0.8189504450088221,0.0,0.0,0.1,0.1,0.05,0.0,0.05
17,bouncing ball,PyramidalFlow,single frame conditioning,plain,20,0.6016340701045875,0.2827270685583198,0.129245112006664,0.2678054846145559,0.9603774201763666,0.6476185316018275,0.3748042231102526,0.7824794556016821,0.0,0.0,0.15,0.15,0.0,0.0,0.15
18,bouncing ball,real-world,none,none,10,0.9850614119389354,0.0046704277421124,0.9855636375627762,0.015191602787979,0.96659512754599,0.9907210006093436,0.9748874095222726,0.98957582568519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,double pendulum,COSMOS,multi frame conditioning,enhanced,79,0.5467281650899095,0.1946689503041546,0.8754170729511247,0.2968978348143166,0.9580784201415466,0.4244611870175895,0.0,0.0,0.0,0.0,0.1012658227848101,0.1012658227848101,0.0,0.0,0.1012658227848101
20,double pendulum,COSMOS,multi frame conditioning,plain,67,0.5275292466438531,0.2168233694330764,0.8343941253964414,0.3337320921193713,0.9565021808776268,0.4027033773504734,0.0,0.0,0.0,0.0,0.1343283582089552,0.1343283582089552,0.0,0.0,0.1343283582089552
21,double pendulum,COSMOS,single frame conditioning,enhanced,78,0.5546610404228952,0.2043554825025695,0.8582620942443333,0.3053067422038893,0.9664448544426532,0.4117231650448075,0.0,0.0,0.0,0.0,0.1025641025641025,0.1025641025641025,0.0,0.0,0.1025641025641025
22,double pendulum,COSMOS,single frame conditioning,plain,58,0.5382063891630059,0.1771760163684171,0.8649998111793358,0.3145881021115627,0.9633923395034304,0.4025234502951456,0.0,0.0,0.0,0.0,0.0862068965517241,0.0862068965517241,0.0,0.0,0.0862068965517241
23,double pendulum,CogVideo,multi frame conditioning,enhanced,84,0.525858311424339,0.142005244272937,0.8772807938235235,0.2356597096601513,0.9586863577704512,0.4378161371940726,0.0,0.0,0.0,0.0,0.0595238095238095,0.0595238095238095,0.0,0.0,0.0595238095238095
24,double pendulum,CogVideo,multi frame conditioning,plain,65,0.5656405297801882,0.0490336164446991,0.9123482692091224,0.1315737400934822,0.9556367493899064,0.4752514929443286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,double pendulum,CogVideo,single frame conditioning,enhanced,86,0.5776869081490215,0.1445931285975326,0.9045232228879264,0.2085614750002117,0.9539895988667164,0.4525955229018714,0.0,0.0,0.0,0.0,0.0465116279069767,0.0465116279069767,0.0,0.0,0.0465116279069767
26,double pendulum,CogVideo,single frame conditioning,plain,68,0.5371497150053482,0.0629748695811206,0.927520656855503,0.1358750379310493,0.956223642578682,0.4578969321505475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,double pendulum,LTX,multi frame conditioning,enhanced,85,0.6172182700030656,0.1685357156592212,0.9144895102534278,0.2329946173758663,0.959976707246081,0.4991889606478769,0.0,0.0,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0588235294117647
28,double pendulum,LTX,multi frame conditioning,plain,67,0.6042214930608374,0.0970084334433325,0.9422890522520304,0.1246292080918567,0.9545943462341387,0.4944892126496622,0.0,0.0,0.0,0.0,0.0149253731343283,0.0149253731343283,0.0,0.0,0.0149253731343283
29,double pendulum,LTX,single frame conditioning,enhanced,99,0.1515884043066058,0.2877612789070137,0.2128405365399132,0.4013155709198992,0.9874202612844492,0.1029556398054305,0.0,0.0,0.0,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0,0.7777777777777778
30,double pendulum,LTX,single frame conditioning,plain,95,0.4482527694304528,0.3272787119466095,0.6356995660440972,0.4594711540146516,0.9722740504457132,0.3318042951391108,0.0,0.0,0.0,0.0,0.3368421052631579,0.3368421052631579,0.0,0.0,0.3368421052631579
31,double pendulum,PyramidalFlow,multi frame conditioning,enhanced,67,0.5652533624772097,0.2448146752427236,0.8408604260927601,0.3551613483032862,0.9637649415925628,0.4273188608463565,0.0,0.0,0.0,0.0,0.1492537313432835,0.1492537313432835,0.0,0.0,0.1492537313432835
32,double pendulum,PyramidalFlow,multi frame conditioning,plain,46,0.5509005909395113,0.2414178570486734,0.8291223993646386,0.3572449981327615,0.9513608005614268,0.4150133933769768,0.0,0.0,0.0,0.0,0.1521739130434782,0.1521739130434782,0.0,0.0,0.1521739130434782
33,double pendulum,PyramidalFlow,single frame conditioning,enhanced,87,0.4632200286897817,0.2445523801515648,0.7657539719647471,0.396037294028085,0.957353900023727,0.3456554487302585,0.0,0.0,0.0,0.0,0.2068965517241379,0.2068965517241379,0.0,0.0,0.2068965517241379
34,double pendulum,PyramidalFlow,single frame conditioning,plain,78,0.5114387805874377,0.2270172412041911,0.8085788337943646,0.3519402802390455,0.9549930908879803,0.3813014503460876,0.0,0.0,0.0,0.0,0.1538461538461538,0.1538461538461538,0.0,0.0,0.1538461538461538
35,double pendulum,real-world,none,none,10,0.9384477776040429,0.0343272332562281,0.9931654190295376,0.0048166809866383,0.9576866125496156,0.9293276846070936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,falling ball,COSMOS,multi frame conditioning,enhanced,101,0.3947105962094872,0.3549886569729631,0.1958001253189052,0.292510283237646,0.9627051471318132,0.4472889068752161,0.2018668539676933,0.534976027785552,0.0,0.0,0.4158415841584158,0.4158415841584158,0.0,0.3465346534653465,0.0693069306930693
37,falling ball,COSMOS,multi frame conditioning,plain,101,0.2330751967257455,0.3467743015485028,0.1439976511954765,0.2791713459649137,0.958986402067228,0.2685556601466526,0.1313222949354007,0.2993476350951832,0.0,0.0,0.6732673267326733,0.6732673267326733,0.0,0.6237623762376238,0.0495049504950495
38,falling ball,COSMOS,single frame conditioning,enhanced,101,0.5468184402798937,0.2375735325624361,0.345191521987702,0.3668590851583662,0.957714162899256,0.6171887014119662,0.2808034126801982,0.7424632067475168,0.0,0.0,0.1089108910891089,0.1089108910891089,0.0198019801980198,0.0198019801980198,0.0693069306930693
39,falling ball,COSMOS,single frame conditioning,plain,101,0.3685549981283665,0.302920823790557,0.2464064804274812,0.3272959481496328,0.7461465209032773,0.416505130259121,0.2039139004777875,0.4852459636481909,0.0,0.0,0.3465346534653465,0.3465346534653465,0.2376237623762376,0.0,0.1089108910891089
40,falling ball,CogVideo,keyframe interpolation,enhanced,100,0.3718985723171497,0.3856265457491297,0.1276478206388403,0.2864672660061895,0.9324919407492668,0.3714197347290299,0.3076757861058778,0.4366001961165411,0.0,0.0,0.5,0.5,0.01,0.49,0.0
41,falling ball,CogVideo,keyframe interpolation,plain,98,0.2201369965261607,0.3540728877055751,0.0749648470029803,0.228692563681666,0.9409017860982256,0.2304302741561665,0.1745752889621513,0.2554054264601642,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.7040816326530612,0.010204081632653
42,falling ball,CogVideo,multi frame conditioning,enhanced,100,0.4573712875599315,0.3913770825031549,0.2135773294854821,0.3075885798763067,0.8512426467535468,0.4627626987439084,0.3368957236632833,0.5724554402726029,0.0,0.0,0.4,0.4,0.1,0.01,0.29
43,falling ball,CogVideo,multi frame conditioning,plain,96,0.3202112895912977,0.3804557565877429,0.1186470731267859,0.2133668474218624,0.862984037687519,0.3443482488935181,0.2258327493531629,0.3904528705272123,0.0,0.0,0.5625,0.5625,0.1041666666666666,0.2916666666666667,0.1666666666666666
44,falling ball,CogVideo,single frame conditioning,enhanced,93,0.3695026383626797,0.357544691121434,0.1249169468738601,0.2129023926709707,0.8355734790780495,0.3872874018408851,0.2445655876918667,0.4766549255552874,0.0,0.0,0.4408602150537634,0.4408602150537634,0.1182795698924731,0.1182795698924731,0.2043010752688172
45,falling ball,CogVideo,single frame conditioning,plain,98,0.1485276416044748,0.2813107028293555,0.051204564209558,0.1553970813931418,0.7600283747110348,0.149117214769363,0.1016048687283402,0.1948608413157211,0.0,0.0,0.7653061224489796,0.7653061224489796,0.2142857142857142,0.4285714285714285,0.1224489795918367
46,falling ball,LTX,multi frame conditioning,enhanced,100,0.3707583068678022,0.370085762267776,0.177314733246228,0.2956646206251275,0.8197558312551162,0.3894154057094628,0.2430270382198847,0.4798324766740592,0.0,0.0,0.45,0.45,0.14,0.03,0.28
47,falling ball,LTX,multi frame conditioning,plain,100,0.4437739542878361,0.2878691598646454,0.2646191482568493,0.3247423586614292,0.9194298472065066,0.4776595828882894,0.2811175375643215,0.5725447424108975,0.0,0.0,0.23,0.23,0.03,0.03,0.17
48,falling ball,LTX,single frame conditioning,enhanced,100,0.3923518975537511,0.4274111492162196,0.0911164873505309,0.2316519299526236,0.9452611636792292,0.4228080960038605,0.2951709686141127,0.4590766280432801,0.0,0.0,0.52,0.52,0.04,0.02,0.46
49,falling ball,LTX,single frame conditioning,plain,100,0.4470562689356628,0.3224087780060405,0.2889790683285402,0.3444142667500254,0.9359128157039908,0.4701874942211757,0.3144953563995212,0.5564859561862917,0.0,0.0,0.28,0.28,0.02,0.19,0.07
50,falling ball,PyramidalFlow,multi frame conditioning,enhanced,100,0.5108689905836393,0.3432360073376748,0.2193003308032876,0.2964609425421692,0.8109319530322234,0.5668591802779972,0.3071241141519686,0.6586236773209521,0.0,0.0,0.27,0.27,0.16,0.0,0.11
51,falling ball,PyramidalFlow,multi frame conditioning,plain,100,0.5820467396338053,0.2894226259893409,0.3361288000682785,0.3299932345605428,0.9260437093447812,0.629238743611865,0.3811151234922408,0.7357863517973098,0.0,0.0,0.14,0.14,0.04,0.0,0.1
52,falling ball,PyramidalFlow,single frame conditioning,enhanced,100,0.4908859456223744,0.3620431718945521,0.2614190256642407,0.3178804257781519,0.8646988443591072,0.5867613752952936,0.2994709470790172,0.5864255144928124,0.0,0.0,0.32,0.32,0.11,0.0,0.21
53,falling ball,PyramidalFlow,single frame conditioning,plain,98,0.5686251233448335,0.2783010609356517,0.1752281082337634,0.219908491704401,0.933340132841738,0.6694492215802962,0.3583629936034085,0.6780631548507958,0.0,0.0,0.1122448979591836,0.1122448979591836,0.0306122448979591,0.0,0.0816326530612244
54,falling ball,real-world,none,none,10,0.9774758212218724,0.0059623979772168,0.9943998499005042,0.0009832507462553,0.9379311314585516,0.9926027320874876,0.9459856454791232,0.9938390860990064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,holonomic pendulum,COSMOS,multi frame conditioning,enhanced,100,0.7025216251564604,0.3340304096403615,0.6738485153364719,0.3493136182808305,0.9721361429288408,0.6137516784729834,0.0,0.0,0.691370553905899,0.8024426430904993,0.17,0.17,0.0,0.17,0.0
56,holonomic pendulum,COSMOS,multi frame conditioning,plain,99,0.5346912298948903,0.4215670283231136,0.4695766208225008,0.4033147795516714,0.96955118598862,0.4754451558227179,0.0,0.0,0.5241715995654411,0.6044569342965119,0.3737373737373737,0.3737373737373737,0.0,0.3737373737373737,0.0
57,holonomic pendulum,COSMOS,single frame conditioning,enhanced,100,0.4835593800169026,0.3840177764579064,0.512049806474764,0.4164869926440345,0.9655702559607322,0.4768099010577772,0.0,0.0,0.4432440611196785,0.5306241778732519,0.37,0.37,0.01,0.14,0.22
58,holonomic pendulum,COSMOS,single frame conditioning,plain,100,0.4809951116912137,0.3287847167562264,0.5414592611700653,0.376595139977794,0.9781084153792852,0.6073116308007065,0.0,0.0,0.5309568343117305,0.3047168699612042,0.25,0.25,0.0,0.14,0.11
59,holonomic pendulum,CogVideo,keyframe interpolation,enhanced,100,0.6338493086115436,0.1695614498955116,0.8484476543599132,0.18886917098406,0.9386337924416734,0.5534795032573517,0.0,0.0,0.5554991678702569,0.7925692547070226,0.0,0.0,0.0,0.0,0.0
60,holonomic pendulum,CogVideo,keyframe interpolation,plain,100,0.6602417808729965,0.1996150890780791,0.8502877782853937,0.1921649783869986,0.9438602937313996,0.6132980095214166,0.0,0.0,0.6043285975337173,0.7630987355638557,0.03,0.03,0.0,0.0,0.03
61,holonomic pendulum,CogVideo,multi frame conditioning,enhanced,100,0.5854596150656524,0.221766836248612,0.3654060347552718,0.2692249892389813,0.9144370008932784,0.3678580412020503,0.0,0.0,0.5770712734411931,0.8114495305537139,0.07,0.07,0.04,0.0,0.03
62,holonomic pendulum,CogVideo,multi frame conditioning,plain,100,0.528139312876199,0.2587812918324146,0.5334907218785169,0.3369132864929439,0.9121116656684436,0.3884578561631066,0.0,0.0,0.5078670897046745,0.6880929927608159,0.14,0.14,0.04,0.05,0.05
63,holonomic pendulum,CogVideo,single frame conditioning,enhanced,99,0.544796029978264,0.2547403330341167,0.352808143522837,0.3435340325792233,0.9505511847587276,0.5388098077113498,0.0,0.0,0.3307403325025136,0.7648379497209287,0.1414141414141414,0.1414141414141414,0.0,0.0606060606060606,0.0808080808080808
64,holonomic pendulum,CogVideo,single frame conditioning,plain,100,0.351808772437943,0.3160962525990855,0.4267080570079231,0.3975288938165813,0.8916967291061567,0.2789880856056421,0.0,0.0,0.3123772202903244,0.4640610114178623,0.4,0.4,0.06,0.27,0.07
65,holonomic pendulum,LTX,multi frame conditioning,enhanced,100,0.6187324214302357,0.2957267906174716,0.5012776256405318,0.334807844657125,0.9515029797458792,0.5838808714008704,0.0,0.0,0.5094854145928668,0.7628309782969697,0.14,0.14,0.0,0.0,0.14
66,holonomic pendulum,LTX,multi frame conditioning,plain,100,0.5986141935488098,0.3595647409198065,0.5219453185794243,0.3579743918574063,0.9524084250615916,0.5372987013115827,0.0,0.0,0.5953702462536472,0.6631736330811995,0.24,0.24,0.0,0.01,0.23
67,holonomic pendulum,LTX,single frame conditioning,enhanced,100,0.0652265169323274,0.2268445311814398,0.0461511425739636,0.1774733782819335,0.9854051462495677,0.0724530650226105,0.0,0.0,0.0469442131704537,0.076282272603918,0.92,0.92,0.0,0.01,0.91
68,holonomic pendulum,LTX,single frame conditioning,plain,100,0.3479637417145798,0.4072587180372404,0.2563179695645828,0.3474453617181431,0.9778565831289964,0.4072076734314602,0.0,0.0,0.2230784967127584,0.4136050549995207,0.56,0.56,0.0,0.01,0.55
69,holonomic pendulum,PyramidalFlow,multi frame conditioning,enhanced,100,0.6863764312296897,0.2913170985408083,0.4614851239254257,0.3357753310639214,0.9447772844702174,0.5553915376234874,0.0,0.0,0.7184567679656395,0.7852809880999423,0.13,0.13,0.01,0.04,0.08
70,holonomic pendulum,PyramidalFlow,multi frame conditioning,plain,100,0.5477482123966805,0.3008935025230001,0.4526852309124885,0.3206774834149223,0.914161863857523,0.7024150154473109,0.0,0.0,0.516827339078437,0.4240022826642934,0.13,0.13,0.04,0.03,0.06
71,holonomic pendulum,PyramidalFlow,single frame conditioning,enhanced,100,0.5230730573236636,0.3876136297023704,0.4275861685710967,0.395962296181,0.9196339268169592,0.4051909524142956,0.0,0.0,0.5785920527015129,0.5854361668551823,0.34,0.34,0.03,0.04,0.27
72,holonomic pendulum,PyramidalFlow,single frame conditioning,plain,98,0.407566508611884,0.3059194879158016,0.4463882968456772,0.3566712735695664,0.9152709963869524,0.6170114680441018,0.0,0.0,0.3153610559112515,0.2903270018802987,0.2346938775510204,0.2346938775510204,0.0408163265306122,0.0,0.1938775510204081
73,holonomic pendulum,real-world,none,none,18,0.9389751062135024,0.0736540371118549,0.978419399018836,0.0314546818372925,0.9652733403608578,0.9988554437083584,0.0,0.0,0.8824192840003352,0.935650590931814,0.0,0.0,0.0,0.0,0.0
74,non-holonomic pendulum,COSMOS,multi frame conditioning,enhanced,99,0.5937274220187465,0.4529389576732425,0.4451431773177917,0.353430391639021,0.9544526669789106,0.5937274220187465,0.0,0.0,0.0,0.0,0.3636363636363636,0.3636363636363636,0.0,0.3131313131313131,0.0505050505050505
75,non-holonomic pendulum,COSMOS,multi frame conditioning,plain,101,0.6087321899320006,0.4559309411723787,0.4647665330649054,0.3653556617276742,0.9529830699692252,0.6087321899320006,0.0,0.0,0.0,0.0,0.3564356435643564,0.3564356435643564,0.0,0.3168316831683168,0.0396039603960396
76,non-holonomic pendulum,COSMOS,single frame conditioning,enhanced,98,0.5374512723119259,0.44051214629466,0.4541594092184127,0.3809837144244383,0.9582146174076528,0.5374512723119259,0.0,0.0,0.0,0.0,0.3775510204081632,0.3775510204081632,0.010204081632653,0.1836734693877551,0.1836734693877551
77,non-holonomic pendulum,COSMOS,single frame conditioning,plain,98,0.6869330511360416,0.4015624823702641,0.5433140821143165,0.3503378427044552,0.9530901610191662,0.6869330511360416,0.0,0.0,0.0,0.0,0.2448979591836734,0.2448979591836734,0.010204081632653,0.0,0.2346938775510204
78,non-holonomic pendulum,CogVideo,keyframe interpolation,enhanced,100,0.4478932907313271,0.274234215777925,0.7070415201584381,0.3972310487535244,0.9602039622117582,0.4478932907313271,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.23
79,non-holonomic pendulum,CogVideo,keyframe interpolation,plain,100,0.5031934019963883,0.2400339585863042,0.7651580866181769,0.3540636737506689,0.9586142078258056,0.5031934019963883,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.16
80,non-holonomic pendulum,CogVideo,multi frame conditioning,enhanced,100,0.5025633229186872,0.1746681108234135,0.7972168509258687,0.1946004711543176,0.9563890897542664,0.5025633229186872,0.0,0.0,0.0,0.0,0.04,0.04,0.01,0.0,0.03
81,non-holonomic pendulum,CogVideo,multi frame conditioning,plain,100,0.4954840472711384,0.1767878835381786,0.8035500380151341,0.1735197051473722,0.9635983258323644,0.4954840472711384,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.03
82,non-holonomic pendulum,CogVideo,single frame conditioning,enhanced,89,0.4516852864537022,0.1972512577466721,0.8337186707640135,0.3012889165027378,0.9653165845707116,0.4516852864537022,0.0,0.0,0.0,0.0,0.1011235955056179,0.1011235955056179,0.0,0.0786516853932584,0.0224719101123595
83,non-holonomic pendulum,CogVideo,single frame conditioning,plain,98,0.4845088647969595,0.1925921053031646,0.8615722708175436,0.2489886668449717,0.9590003080225532,0.4845088647969595,0.0,0.0,0.0,0.0,0.0612244897959183,0.0612244897959183,0.010204081632653,0.0204081632653061,0.0306122448979591
84,non-holonomic pendulum,LTX,multi frame conditioning,enhanced,100,0.6847826542767936,0.3255851497977802,0.6152930072006606,0.3011862978566946,0.9735375836654596,0.6847826542767936,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.02,0.11
85,non-holonomic pendulum,LTX,multi frame conditioning,plain,100,0.6524901378814459,0.313260399625004,0.5820970820980752,0.2951137644552628,0.9742310766756008,0.6524901378814459,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.02,0.12
86,non-holonomic pendulum,LTX,single frame conditioning,enhanced,100,0.2328498749584742,0.3891823805170569,0.1538644744690953,0.2862461841474251,0.9825534208538808,0.2328498749584742,0.0,0.0,0.0,0.0,0.72,0.72,0.0,0.02,0.7
87,non-holonomic pendulum,LTX,single frame conditioning,plain,100,0.5039552125460411,0.4269722877277162,0.4045255355373389,0.3697878416578029,0.9775497742329916,0.5039552125460411,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.03,0.36
88,non-holonomic pendulum,PyramidalFlow,multi frame conditioning,enhanced,98,0.4457487668656413,0.4547262318921821,0.3398568842491972,0.3702755751936929,0.9345189801552698,0.4457487668656413,0.0,0.0,0.0,0.0,0.5,0.5,0.0204081632653061,0.0714285714285714,0.4081632653061224
89,non-holonomic pendulum,PyramidalFlow,multi frame conditioning,plain,100,0.465544399497083,0.4552050448725769,0.3340868465635703,0.3557919272438602,0.9401906970384424,0.465544399497083,0.0,0.0,0.0,0.0,0.48,0.48,0.01,0.02,0.45
90,non-holonomic pendulum,PyramidalFlow,single frame conditioning,enhanced,100,0.511982134434051,0.3886426125078459,0.5211211527194233,0.407828348488401,0.9643465541760324,0.511982134434051,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.05,0.28
91,non-holonomic pendulum,PyramidalFlow,single frame conditioning,plain,100,0.4804829918095092,0.3602558766132006,0.51034342757524,0.4108263592121721,0.9579729378287856,0.4804829918095092,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.02,0.28
92,non-holonomic pendulum,real-world,none,none,12,0.9958687336952564,0.0018748739957288,0.9759063937176936,0.0481566033843616,0.972567807366596,0.9958687336952564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,projectile,COSMOS,multi frame conditioning,enhanced,101,0.350051578654156,0.296618873124461,0.3014972721640267,0.3200251291590114,0.9754040930372028,0.381695869078986,0.2088719072993711,0.4595869595841109,0.0,0.0,0.3861386138613861,0.3861386138613861,0.0,0.2277227722772277,0.1584158415841584
94,projectile,COSMOS,multi frame conditioning,plain,92,0.296701192853169,0.2622985183989438,0.2845670247994872,0.3338371909493193,0.965338401638999,0.3045059783284972,0.1784367826026069,0.4071608176284029,0.0,0.0,0.4021739130434782,0.4021739130434782,0.0108695652173913,0.2826086956521739,0.108695652173913
95,projectile,COSMOS,single frame conditioning,enhanced,101,0.2761965031615678,0.3333880946600404,0.3120026009875806,0.3822664329077648,0.8311938986474042,0.3267933199125831,0.1394704539112556,0.3623257356608648,0.0,0.0,0.5742574257425742,0.5742574257425742,0.1584158415841584,0.0,0.4158415841584158
96,projectile,COSMOS,single frame conditioning,plain,85,0.3079108103443319,0.3047892463422365,0.3073373392037708,0.366536656757837,0.8808677910952563,0.3823502112095831,0.1481371594969658,0.3932450603264466,0.0,0.0,0.4352941176470588,0.4352941176470588,0.1058823529411764,0.0,0.3294117647058823
97,projectile,CogVideo,keyframe interpolation,enhanced,100,0.5059169068952898,0.2866203127775638,0.611784792280044,0.3233080783475769,0.988225882159764,0.5421966880610478,0.3352411164006217,0.6403129162241997,0.0,0.0,0.2,0.2,0.0,0.2,0.0
98,projectile,CogVideo,keyframe interpolation,plain,100,0.2745542308876075,0.308334269740912,0.3536816235718374,0.3926509273216757,0.9870281201336024,0.3013808606433881,0.1883401134290267,0.3339417185904076,0.0,0.0,0.53,0.53,0.0,0.53,0.0
99,projectile,CogVideo,multi frame conditioning,enhanced,100,0.2731597585478169,0.289391705722607,0.3815399019527113,0.3837431621800044,0.800182078631308,0.3538036269895444,0.1988364213158422,0.2668392273380638,0.0,0.0,0.43,0.43,0.18,0.11,0.14
100,projectile,CogVideo,multi frame conditioning,plain,100,0.2267593345365459,0.2895431892588951,0.276927997285843,0.3600637033381433,0.8629028491436606,0.2795394953307152,0.1803028846811629,0.2204356235977597,0.0,0.0,0.55,0.55,0.12,0.37,0.06
101,projectile,CogVideo,single frame conditioning,enhanced,51,0.2507312456557546,0.3408011380356448,0.3112982691653276,0.3909727264781412,0.8921224676218438,0.3189778863017238,0.1640631996265131,0.2691526510390269,0.0,0.0,0.5882352941176471,0.5882352941176471,0.0784313725490196,0.4313725490196078,0.0784313725490196
102,projectile,CogVideo,single frame conditioning,plain,100,0.1340108615811003,0.2599761302485874,0.1833965951049686,0.3401847585797553,0.9100162521991836,0.1804662478918101,0.0865571320136807,0.1350092048378099,0.0,0.0,0.74,0.74,0.07,0.56,0.11
